URL,Text_1,Text_2,Text_3
www.gapers.it/ortoredirect/0085/,SPINO DEGLI OSAGI,Maclura pomifera (Raf.) C.K.Schneid.,Fam. Moraceae
www.gapers.it/ortoredirect/0086/,MELO,Malus floribunda Siebold ex Van Houtte,Fam. Rosaceae
www.gapers.it/ortoredirect/0087/,MELO SELVATICO,Malus floribunda Siebold ex Van Houtte,Fam. Rosaceae
www.gapers.it/ortoredirect/0088/,ERBA MEDICA ARBOREA,Medicago arborea L.,Fam. Fabaceae
www.gapers.it/ortoredirect/0089/,NESPOLO COMUNE,"Crataegus germanica (L.) Kuntze, Revis. Gen.",Fam. Rosaceae
www.gapers.it/ortoredirect/0090/,METASEQUOIA,Metasequoia glyptostroboides Hu & W.C.Cheng,Fam. Cupressaceae
www.gapers.it/ortoredirect/0091/,MIRTO,"Myrtus communis L., Sp. Pl.",Fam. Mirtaceae
www.gapers.it/ortoredirect/0092/,MIRTO,Mirtus tarentina L.,Fam. Mirtaceae
www.gapers.it/ortoredirect/0093/,GELSO BIANCO,Morus alba L.,Fam. Moraceae
www.gapers.it/ortoredirect/0094/,GELSO NERO,Morus nigra L.,Fam. Moraceae
www.gapers.it/ortoredirect/0095/,OLIVO,Olea europaea L.,Fam. Oleaceae
www.gapers.it/ortoredirect/0096/,CARPINO NERO,"Ostrya carpinifolia Scop., Fl. Carniol.",Fam Betullaceae
www.gapers.it/ortoredirect/0097/,MARRUCA,Paliurus spina-christi Mill.,Fam. Rhamnaceae
www.gapers.it/ortoredirect/0098/,FILLIREA,Phillyrea angustifolia L.,Fam. Oleaceae
www.gapers.it/ortoredirect/0099/,ILATRO,Phillyrea latigoglia L.,Fam. Oleaceae
www.gapers.it/ortoredirect/0100/,FILADELFO,"Philadelphus coronarius L., Spl. Pl.",Fam. Hydrangeaceae
www.gapers.it/ortoredirect/0101/,FIOR D'ANGELO,Philadelphus   virginalis Rehder,Fam. Hydrangeaceae
www.gapers.it/ortoredirect/0102/,PINO DOMESTICO,"Pinus pinea L., Sp. Pl",Fam. Pinaceae
www.gapers.it/ortoredirect/0103/,PINO SILVESTRE,Pinus sylvestris L.,Fam. Pinaceae
www.gapers.it/ortoredirect/0104/,LENTISCO,Pistacia lentiscus L.,Fam. Anacardiaceae
www.gapers.it/ortoredirect/0105/,TEREBINTO,Pistacia terebinthus L.,Fam. Anacardiaceae
www.gapers.it/ortoredirect/0106/,PLATANO ORIENTALE,Platanus hispanica Mill. ex Munchh.,Fam. Platanaceae
www.gapers.it/ortoredirect/0107/,ARANCIO TRIFOLIATO,Citrus trifoliata L. ,Fam. Rutaceae
www.gapers.it/ortoredirect/0108/,PIOPPO BIANCO,"Populus alba L., Sp. Pl.",Fam. Salicaceae
www.gapers.it/ortoredirect/0109/,PIOPPO NERO,Populus nigra L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0110/,PIOPPO CIPRESSINO,Popolus nigra italica L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0111/,PIOPPO TREMULO,Populus tremula L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0112/,MANDORLO,Prunus amygdalus Mill.D.R.Webbe,Fam. Rosaceae
www.gapers.it/ortoredirect/0113/,ALBICOCCO,Prunus armeniaca L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0114/,MIRABOLANO,Prunus cerasifera Ehrh.,Fam. Rosaceae
www.gapers.it/ortoredirect/0115/,CIGLIEGIO,Prunus cerasus L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0116/,SUSINO,Prunus domestica L. ,Fam. Rosaceae
www.gapers.it/ortoredirect/0117/,LAUROCERASO,Prunus laurocerasus L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0118/,MAGALEPPO,Prunus Mahaleb L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0119/,PESCO,Prunus persica (L.) Batsch ,Fam. Rosaceae
www.gapers.it/ortoredirect/0120/,CILIEGIO TARDIVO,Prunus serotina Ehrh.,Fam. Rosaceae
www.gapers.it/ortoredirect/0121/,PRUGNOLO,Prunus spinosa L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0122/,MELOGRANO,Punica granatum L.,Fam. Lytraceae
www.gapers.it/ortoredirect/0123/,AGAZZINO,Pyracantha coccinea M.Roem.,Fam. Rosaceae
www.gapers.it/ortoredirect/0124/,PERO.,Pyrus communis L.,Fam. Rosaceae
www.gapers.it/ortoredirect/0125/,QUERCIA CASTAGNAIA,Quercus castaneifolia C.A.Mey.,Fam. Fagaceae
www.gapers.it/ortoredirect/0126/,CERRO,Quercus cerris L.,Fam. Fagaceae
www.gapers.it/ortoredirect/0127/,QUERCIA  COCCIFERA,Quercus coccifera L.,Fam. Fagaceae
www.gapers.it/ortoredirect/0128/,FARNETTO,Quercus frainetto Ten.,Fam. Fagaceae
www.gapers.it/ortoredirect/0129/,LECCIO,Quercus ilex L.,Fam. Fagaceae
www.gapers.it/ortoredirect/0130/,VALLONEA,Quercus ithaburensis subsp. macrolepis (Kotschy),Fam. Fagaceae
www.gapers.it/ortoredirect/0131/,QUERCIA DI PALUDE,"Quercus palustris Munchh., Hausvater ",Fam. Fagaceae
www.gapers.it/ortoredirect/0132/,ROVERE,Quercus petraea (Matt.) Liebl.,Fam. Fagaceae
www.gapers.it/ortoredirect/0133/,CERROSUGHERA,Quercus pseudosuber Wild,Fam. Fagaceae
www.gapers.it/ortoredirect/0134/,ROVERELLA,"Quercus pubescens Willd., Berlin. Baumz.",Fam. Fagaceae
www.gapers.it/ortoredirect/0135/,FARNIA,Quercus robur L.,Fam. Fagaceae
www.gapers.it/ortoredirect/0136/,SUGHERA,"Linnaeus, C. 1753. Species Plantarum, Tomus II",Fam. Fagaceae
www.gapers.it/ortoredirect/0137/,FRAGNO,Quercus trojana Webb,Fam. Fagaceae
www.gapers.it/ortoredirect/0138/,SPINO CERCINO,Rhamnus catharticus ,Fam. Rhamnaceae
www.gapers.it/ortoredirect/0139/,ALATERNO,Rhamnus alaternus L.,Fam. Rhamnaceae
www.gapers.it/ortoredirect/0140/,ROBINIA,Robinia pseudoacacia L.,Fam. Fagaceae
www.gapers.it/ortoredirect/0141/,ROSAV GALLICA,Rosa gallica L. ,Fam. Rosaceae
www.gapers.it/ortoredirect/0142/,ROVO,Rubus ulmifolius Schott,Fam. Rosaceae
www.gapers.it/ortoredirect/0143/,PUNGITOPO,Ruscus aculeatus L.,Fam. Asparagaceae
www.gapers.it/ortoredirect/0144/,SALICE BIANCO,Salix alba L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0145/,SALICE PIANGENTE,Salix babylonica L.,Fam. Salicaceae
www.gapers.it/ortoredirect/0146/,SALICONE,Salix caprea L.,Fam. Salicaceae
